,artist,musicbrainz_id,spotify_id,type,followers,genres,popularity
0,Пётр Ильич Чайковский,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,3MKCzCnpzw3TjUYs2v7vDA,Person,801364,"['classical', 'late romantic era', 'russian romanticism']",71
1,Игорь Фёдорович Стравинский,c278de2c-9696-4fdf-a919-0781cd945e2c,,Person,0,[],0
2,Сергей Васильевич Рахманинов,44b16e44-da77-4580-b851-0d765904573e,,Person,0,[],0
3,Сергей Сергеевич Прокофьев,0e43fe9d-c472-4b62-be9e-55f971a023e1,4kHtgiRnpmFIV5Tm4BIs8l,Person,167127,"['classical', 'early modern classical', 'neoclassicism', 'russian modern classical']",59
4,Дмитрий Дмитриевич Шостакович,519dd32e-8f30-4380-8826-7aa99169e1bb,,Person,0,[],0
5,Модест Петрович Мусоргский,c1380b12-3909-47d8-a5fd-d20e76123310,,Person,0,[],0
6,Николай Андреевич Римский‐Корсаков,4cfe7051-f649-4d07-83b3-7a732abe7249,,Person,0,[],0
7,Igor Dvorkin,89084697-50d3-450e-8805-9163532dcaf1,,Person,0,[],0
8,Александр Николаевич Скрябин,a4eba7b5-aceb-4acf-b297-3c0a3cd42757,,Person,0,[],0
9,Senmuth,ea53eb97-27aa-43cc-a140-5587db769e50,61Oq49nPScUCDWYAdAdgM1,Person,135,['ritual ambient'],2
10,Лев Николаевич Толстой,8a2f71c8-ccbe-42de-a2fa-2490fc015374,,Person,0,[],0
11,Святослав Теофилович Рихтер,2014bfbb-c65d-45dc-9973-35bead3833fa,,Person,0,[],0
12,Аквариум,8d741103-d319-4cc8-9f4f-9926b5bf112a,0RVIZpggXkAvhGOW4EFfWG,Group,287,[],20
13,Фёдор Михайлович Достоевский,08dd4a10-f7c8-4da8-a724-8d261ebbd9e4,19h4X7tdMRnD8WvNtUprEh,Person,24,[],19
14,Алла Пугачёва,2f745f25-7681-4c44-b713-34d37a307575,7lyhSLlB5fWJmU5eB6k84L,Person,42920,"['classic russian pop', 'russian pop', 'russian rock']",48
15,Александр Порфирьевич Бородин,560b5e65-8d53-41b4-9913-83368f4721a0,34MYamymtmnsmpwbqydd7I,Person,26763,"['classical', 'late romantic era', 'russian romanticism']",52
16,Сергей Васильевич Лукьяненко,b618dff4-dafd-4fea-be54-680046f1c281,,Person,0,[],0
17,Академический ансамбль песни и пляски Российской Армии имени А. В. Александрова,4f6654b3-0ae3-44bc-9bed-e9477446beab,7lUh5w2odGeIGvlkn7ZMPF,Group,6532,['russian folk'],41
18,Александр Константинович Глазунов,5a0988a4-695c-4bff-bc68-4f312427495e,,Person,0,[],0
19,t.A.T.u.,7c20f558-d664-42bd-b6f1-81acf9dbb72d,2Q3eZMfDQgT8MhPowKFXYO,Group,481275,"['dance pop', 'girl group']",65
20,Филипп Киркоров,3e6ed59b-2a9d-4957-92f5-e2fd453f8e1b,3ANNnVJ7NCdIZV6P2YzvlI,Person,69859,"['classic russian pop', 'russian dance pop', 'russian pop']",52
21,Ария,1f36a3a2-9687-4819-ac55-54d7ff0b8b88,0ICn3Cbc4mMeLmTvwnqXYu,Group,237246,"['classic russian rock', 'russian metal', 'russian rock']",52
22,Ленинград,2bf704b3-4c05-441f-ad54-52722c1bdba9,2a3EJeQjcAelthFGr5bzQC,Group,216943,"['russian pop', 'russian punk', 'russian rock']",57
23,Александр Розенбаум,f519baa1-deda-4c56-bbce-5c05966c0355,6GO0U13OFE0XntmksjZ4PY,Person,42216,"['bard', 'classic russian pop', 'russian chanson', 'russian pop', 'russian rock']",43
24,Алиса,a1f0bd3b-6977-4ab2-8d5c-2464bada895d,5ggxe6RGD8zHfaCbwTdtw5,Group,82625,"['classic russian rock', 'russian punk', 'russian rock']",46
25,Мумий Тролль,f91b9b28-25b7-4064-81d1-f43163085770,6rY1h3kpqbTquyR3qYWo08,Group,194990,"['classic russian rock', 'russian pop', 'russian punk', 'russian rock']",54
26,Чайф,46c83515-6df3-4afa-b597-cffd21aab719,2Ktp0aQBfLtTqUE1p3CwUr,Group,88247,"['classic russian rock', 'russian rock']",44
27,from tokyo to honolulu,10ad0340-9288-4705-a5a7-97d5e8931f05,593hETI5c2Yhcc0Tmdeq3z,Person,265,['sovietwave'],12
28,Би-2,5ca35ace-4006-4d4a-af04-5cd91dafab14,3SXDCIdqI1AR686ukKtKCq,Group,577388,"['belarusian pop', 'belarusian rock', 'classic russian rock', 'russian rock']",60
29,Крематорий,9b135e33-2fbc-4155-b351-cc2a39997975,6UB8s2n5v6CNrlBXOqXet8,Group,47676,"['classic russian rock', 'russian punk', 'russian rock']",42
30,ДДТ,f7456b5b-e5a5-454e-b5db-047308210c8e,0YCqg8X5gx0MremW64Ud1h,Group,206942,"['classic russian rock', 'russian pop', 'russian rock']",53
31,Пикник,eabd8df4-03cd-4644-8ad1-f50fb952c567,625pLI6ukICVgPMaZZ9QVX,Group,97067,"['classic russian rock', 'russian rock']",50
32,Витас,f01f7cbd-7ac7-4f9f-81c9-71c231f1cc61,0UK6JkgUMa28b4t8eCtg6P,Person,106047,['meme rap'],53
33,Григорий Лепс,cb42445b-f8d8-4eb1-9806-d70c45725fc8,2eLrVxwm6t4QeaORq5w8VW,Person,102737,"['classic russian pop', 'russian dance pop', 'russian pop', 'russian rock']",55
34,Тараканы!,6e2f63bf-c1eb-473f-a2aa-cd2daf08f5ec,3OZMcYBFNSr0ztFd82aJK9,Group,34529,"['russian punk', 'russian rock']",44
35,Калинов Мост,98c74230-3a02-4f96-8b09-805958663527,0FljFr1aDZG9SOHl4UDExF,Group,17393,['russian rock'],31
36,Andrey Sitkov,90b91fcc-7ac2-4447-81fe-a2674fb5b92a,1c1nOCwSa3Yq3w7zuzzgGU,Person,14,[],2
37,Король и Шут,0944e98f-0b9f-4574-babc-7badf4cd0f74,0qc4X567Fs1DUbQ7bS2XSJ,Group,229092,"['classic russian rock', 'horror punk', 'russian alternative', 'russian metal', 'russian punk', 'russian rock']",62
38,Валерий Абисалович Гергиев,87b4252d-314b-4252-9cd3-44c08f3087b6,,Person,0,[],0
39,Михаил Афанасьевич Булгаков,91cdafca-3005-409c-bcc5-ef977000cbbc,7tYkqdReko029K7zpFkxU4,Person,5,[],0
40,Шмели,2c0ebaf9-74ee-4805-9ed4-07bd2cafb6df,4OXVjz9BARB2MwT6sdx8JE,Group,442,[],12
41,Иосиф Кобзон,28442ebf-7450-4eb1-96a9-ab771bc9cd80,0YMFQZ6CO0v8lm9rc2sFJ3,Person,3279,"['classic russian pop', 'russian folk']",31
42,Сектор газа,2abdd525-55ca-4263-b3b0-d5cdd8edbd02,4W4XLF8i9cHVqwASg8Kqv6,Group,63295,"['classic russian rock', 'kavkaz', 'russian hip hop', 'russian punk', 'russian rock']",54
43,Nautilus Pompilius,247efe0f-80f1-477c-a4a0-b5cb1b8c832e,3tYzkTZtYt5dGBSrAnWpX0,Group,229206,"['classic russian rock', 'russian rock']",54
44,Messer Chups,050c59c3-12d7-4d7e-b890-9ebcf0caa85d,756Li3sKcK4EdDiniLPqRl,Group,28074,"['indie surf', 'instrumental surf', 'laboratorio', 'surf music']",39
45,Михаил Иванович Глинка,e539699a-5cb3-4f73-b60f-691b1499d0af,,Person,0,[],0
46,Государственный академический симфонический оркестр России,67e5938c-3953-4dfe-9d63-860bef0d8475,,Orchestra,0,[],0
47,Булат Окуджава,b63b2ac8-4df4-4038-97a0-c79969b5e29b,0ZahzpqsK9YXqiThUYRcx5,Person,15447,"['bard', 'classic russian rock', 'russian folk', 'russian rock']",33
48,Борис Гребенщиков,2fccd72c-a3ba-4ca6-a89b-4024358c4f78,2rnZ3TYlGce0bg2ogrtShe,Person,54055,"['bard', 'russian folk', 'russian rock']",43
49,Кристина Орбакайте,e71738bd-39d4-4699-b6c2-688f95b31732,6Y8REoXE0D124BdBsHvpER,Person,23764,"['classic russian pop', 'russian dance pop', 'russian pop']",46
50,Евгений Фёдорович Светланов,cd673bce-4d0b-4272-b331-39772bb4995f,,Person,0,[],0
51,Михаил Васильевич Плетнёв,c3f0d6a4-a413-4c40-9103-1638c4eb41ee,,Person,0,[],0
52,Геннадий Николаевич Рождественский,90595f34-e23e-4d0c-97cd-7d69b66e0727,,Person,0,[],0
53,Аркона,baad262d-55ef-427a-83c7-f7530964f212,6AJ9HQ2Ptp1WWEfBFvR5fF,Group,82512,"['folk metal', 'medieval folk', 'russian folk metal', 'russian metal', 'slavic folk metal', 'slavic metal']",41
54,ARTY,52491cf4-55df-4d0f-b4d4-c3652f7e122d,1rSGNXhhYuWoq9BEz5DZGO,Person,149935,"['big room', 'edm', 'electro house', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'russian edm', 'trance', 'tropical house', 'uplifting trance']",66
55,АукцЫон,b3c32ceb-1628-43d2-9fb4-447eb9f7296a,7pUNFHEe0MlfvvDG1dXH3m,Group,18494,"['classic russian rock', 'russian rock']",41
56,Михаил Щербаков,946c6379-66eb-43f1-9e13-d79d9a04935b,,Person,0,[],0
57,Жанна Бичевская,ddfc0d58-b989-4d0a-a915-d8e56e4f1f36,3R9gRNvsM5PAeYNbkFDHZS,Person,2329,"['bard', 'russian romance']",22
58,Ночные Снайперы,01e10b31-ae0f-49a6-b4f4-5c3dcff9788a,2GUwb2rxMKePzxDi94EEoZ,Group,111991,"['classic russian rock', 'russian pop', 'russian rock']",47
59,Сплин,0783b768-6719-450b-a7e1-7e891da17af3,6rdFMVoMSEN4GGX98u6QTj,Group,344070,"['classic russian rock', 'russian rock']",57
60,Мстислав Ростропович,e2b294b7-f705-4317-a96b-fd94da3719e5,2IXEoqZBsvTHyiDhuKykeB,Person,107,[],1
61,Dvar,be84006a-c37a-4a4a-866f-f7e0ab3a5f9c,1TtXnWcUs0FCkaZDPGYHdf,Group,1454253,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",84
62,Эдуард Артемьев,0d512eb7-93b7-4cda-8e97-dcd9a80ebfad,0MiJVAtMX8g494r2i1FDwm,Person,5547,['soviet synthpop'],39
63,Dolphin,927dcbc3-9c46-4833-8173-b76e785a4b75,17T6Ttg0XIL8GRj0rRGioB,Person,4492,['otacore'],37
64,Симфонический оркестр Мариинского театра,6c05e40f-33b2-4150-b93a-ddc2b0d88a6a,0VZmZqkuZnMAG2r6IhI4c5,Orchestra,21,[],3
65,Distemper,a0d726ea-d8af-4e04-8eb6-10f7bed37140,73KPvw0VFDPbhS63pEqEXQ,Group,16880,"['russian punk', 'russian rock']",35
66,Слот,036b6660-ff83-4d6b-ac43-78ab79ab2833,3r1XkJ7vCs8kHBSzGvPLdP,Group,254791,"['hip hop', 'rap', 'uk alternative hip hop', 'uk hip hop']",69
67,Алексей Рыбников,9c6d5959-a574-423e-8955-bd7ebbd9626c,0tq4FzYtXFteCwPXVMXzZb,Person,3225,['detskie pesni'],33
