mb_id,name,type
b731acb5-6f83-420b-9a3c-d6f8d4123940,_Algol_,Person
544a1b33-9c9a-464b-bc3f-fe6d52bcaddc,-1,Group
a24d16f8-ff20-44ee-a22e-f3eb88591038,:::::KObU,Person
615ce7da-5b74-43d0-a26b-a36ef3fc83f8,:tremor,Group
4bc429c3-3dc0-4fb5-81df-4ca7b36fa43d,!ky que,Group
b83e1722-d885-4f97-86ff-3fbfccc738e6,.excyd,Person
67567572-507d-4a1c-9ef3-3253f2122842,.nyctalops.,Person
44eb61cb-ab1d-4f87-8414-9c70a9248e0e,.Otrix,Person
1bd48aaa-ce20-4317-8c65-22821da39119,.WAV.,Person
2d7a5bb8-22c4-4bec-88b4-01715c330d31,«Буддист»,Person
9b5a85c6-ba80-46f2-9384-483babced224,(the)99942,Group
e682ba8a-b67c-4103-9f98-b32430fa27a8,[ Sin.thetic Squad ],Group
9db7d8e3-14f4-4c77-9907-9775da129b02,[dying:dust],
77a641d5-7f82-4fe0-9b2d-59ed00d9061b,[F.R.O.S.T.],Group
2ea8293b-7b43-4764-8f20-cc9ac5d1a395,[N.K.72],Person
b906c6c7-8f8d-4c2b-981c-4dd98e637329,[NesCreator],Group
f74a183c-f939-4fa5-9d71-fd0591786b25,[sv],
84c6de01-61f8-4b4e-958c-58e09d7fd420,[SwoM],Group
1b1e20d0-6387-4cc9-a657-4ab0d13d9d2d,[КИБЕР:FLESH],
d43d53bc-c6ec-4437-a477-3d155ea6fc82,[корпорация жёлтый асфальт],Group
a5240ed6-f5ac-4407-b086-a31b287b5fd6,[ШТУRМ],Group
035de454-feec-4fb2-91f8-77df995239d8,@LeXi$,Person
c352886d-fa34-4d6e-8c88-688c1c8c29d1,#2Маши,Group
edfa6499-0bf9-45bc-9f7c-289f641e2ea5,#dropsydies,Group
a0f71d90-96af-4b2d-aebe-14560452e18e,#Дуро4ka,Person
1eaca0bc-1754-49f3-8cb8-fd21899c11b6,+FVCKFISH,Person
cb834eb6-0f77-4623-946f-b21e361b06b1,±sweets: buy & suck»,Group
fab9e6d9-3c9d-4071-a27e-fc5e376f7850,|De:Source|,Group
e4cfac00-0c70-45e6-8088-1e895e4f8534,~▲†▲~,
50273c5e-f7e4-4160-9096-d67a504f820e,△Sco△,
c87e7e7d-c898-40b8-b277-d52e9c3fae38,$aT,Person
f3b9849d-733a-4256-b4c6-4ae7300ba607,$CXRL,Person
8bcaab6a-d4e1-4c54-8130-e7fa84e6c1de,0.33 Мл,Group
137c2a7e-faa3-485a-8228-ec4b62bf1c25,0Kontrol,Group
88eea7c8-4da8-4027-ad46-4b980a7acc0d,0xFF,Group
b3c88125-da31-46c9-9571-912dc5f71c9a,1 Step 2 Far,Group
6ecc5f62-5d7a-4072-8fa0-0b2921c5df88,1.5 кг,Group
4abb743b-57e6-4f34-90d5-7ce92086b2d6,1.Kla$,Person
cb219850-9cf1-47c2-b356-9c42c27aeca4,1/2 Orchestra,Group
60b15ec9-9549-45c9-b984-4173a11ae6f1,1Beat,Person
8b31b687-1460-4d17-a409-e18602926e52,1Touch,Person
57cdc6a3-c451-4e24-a6e5-8fbd9b8abc37,2 Avocados,Group
c647b732-ace1-4b65-ba0d-9eec92ed8e7b,2-й СОРТ,Group
